credit_card,cvv,credit_card_exp,phone,zipcode,state,city,street_addr,url,ssn,email,name,social,timestamp,dx_generic_text,generic_numbers
5108756920993075,202,06/02,+1 352 207 3311,78421,Florida,Brooksville,5233 Schurz Trail,posterous.com/pharetra/magna/ac/consequat.js?vestibulum=ac&ante=est&ipsum=lacinia&primis=nisi&in=venenatis&faucibus=tristique&orci=fusce&luctus=congue&et=diam&ultrices=id&posuere=ornare&cubilia=imperdiet&curae=sapien&nulla=urna&dapibus=pretium&dolor=nisl&vel=ut&est=volutpat&donec=sapien&odio=arcu&justo=sed&sollicitudin=augue&ut=aliquam&suscipit=erat&a=volutpat&feugiat=in&et=congue&eros=etiam&vestibulum=justo&ac=etiam&est=pretium&lacinia=iaculis&nisi=justo&venenatis=in&tristique=hac&fusce=habitasse&congue=platea&diam=dictumst&id=etiam&ornare=faucibus&imperdiet=cursus&sapien=urna&urna=ut&pretium=tellus&nisl=nulla&ut=ut&volutpat=erat&sapien=id&arcu=mauris&sed=vulputate&augue=elementum&aliquam=nullam&erat=varius&volutpat=nulla&in=facilisi&congue=cras&etiam=non&justo=velit&etiam=nec&pretium=nisi&iaculis=vulputate&justo=nonummy&in=maecenas&hac=tincidunt&habitasse=lacus&platea=at&dictumst=velit&etiam=vivamus&faucibus=vel&cursus=nulla&urna=eget&ut=eros&tellus=elementum&nulla=pellentesque&ut=quisque&erat=porta&id=volutpat&mauris=erat&vulputate=quisque&elementum=erat&nullam=eros&varius=viverra&nulla=eget&facilisi=congue&cras=eget&non=semper&velit=rutrum&nec=nulla&nisi=nunc&vulputate=purus,139-56-1806,jcarnduff0@macromedia.com,Janella,@1SDY43V1QE,1.65E+12,Contusion of external genital organs,30.63%
5108756920993075,189,02/96,+1 936 429 3999,30035,Texas,Huntsville,14 Green Street,taobao.com/sed/justo/pellentesque/viverra/pede/ac.jsp?dui=nullam&nec=sit&nisi=amet&volutpat=turpis&eleifend=elementum&donec=ligula&ut=vehicula&dolor=consequat&morbi=morbi&vel=a&lectus=ipsum&in=integer&quam=a&fringilla=nibh&rhoncus=in&mauris=quis&enim=justo&leo=maecenas&rhoncus=rhoncus&sed=aliquam&vestibulum=lacus&sit=morbi&amet=quis&cursus=tortor&id=id&turpis=nulla&integer=ultrices&aliquet=aliquet&massa=maecenas&id=leo&lobortis=odio&convallis=condimentum&tortor=id&risus=luctus&dapibus=nec&augue=molestie&vel=sed&accumsan=justo&tellus=pellentesque&nisi=viverra&eu=pede&orci=ac&mauris=diam&lacinia=cras&sapien=pellentesque&quis=volutpat&libero=dui&nullam=maecenas&sit=tristique&amet=est&turpis=et&elementum=tempus&ligula=semper&vehicula=est&consequat=quam&morbi=pharetra&a=magna&ipsum=ac&integer=consequat&a=metus&nibh=sapien&in=ut&quis=nunc&justo=vestibulum&maecenas=ante&rhoncus=ipsum&aliquam=primis,692-19-2728,jiskowicz1@reverbnation.com,Jilly,@7020M6BMCE,1.67E+12,"Oligohydramnios, second trimester, fetus 3",89.54%
5048371909932848,222,05/35,+1 310 998 1742,16626,California,Santa Monica,0641 Messerschmidt Court,redcross.org/a.html?turpis=et&eget=magnis&elit=dis&sodales=parturient&scelerisque=montes&mauris=nascetur&sit=ridiculus&amet=mus&eros=etiam&suspendisse=vel&accumsan=augue&tortor=vestibulum&quis=rutrum&turpis=rutrum&sed=neque&ante=aenean&vivamus=auctor&tortor=gravida&duis=sem&mattis=praesent&egestas=id&metus=massa&aenean=id&fermentum=nisl&donec=venenatis&ut=lacinia&mauris=aenean&eget=sit&massa=amet&tempor=justo&convallis=morbi&nulla=ut&neque=odio&libero=cras&convallis=mi&eget=pede&eleifend=malesuada&luctus=in&ultricies=imperdiet&eu=et&nibh=commodo&quisque=vulputate&id=justo&justo=in&sit=blandit&amet=ultrices&sapien=enim&dignissim=lorem&vestibulum=ipsum&vestibulum=dolor&ante=sit&ipsum=amet&primis=consectetuer&in=adipiscing&faucibus=elit&orci=proin&luctus=interdum&et=mauris&ultrices=non&posuere=ligula&cubilia=pellentesque&curae=ultrices&nulla=phasellus&dapibus=id&dolor=sapien&vel=in&est=sapien&donec=iaculis&odio=congue&justo=vivamus&sollicitudin=metus&ut=arcu&suscipit=adipiscing&a=molestie&feugiat=hendrerit&et=at&eros=vulputate&vestibulum=vitae&ac=nisl&est=aenean&lacinia=lectus&nisi=pellentesque&venenatis=eget&tristique=nunc&fusce=donec&congue=quis&diam=orci&id=eget&ornare=orci&imperdiet=vehicula&sapien=condimentum&urna=curabitur&pretium=in&nisl=libero&ut=ut&volutpat=massa&sapien=volutpat,504-21-6432,vwildbore2@ovh.net,Veda,@SXEPL7IU5A,1.67E+12,"Anterior subluxation of left ulnohumeral joint, init encntr",5.05%
5048371909932848,407,03/71,+1 502 621 5298,98677,Kentucky,Louisville,21 Moland Road,google.nl/nullam/molestie/nibh/in/lectus.jsp?eleifend=morbi&quam=vestibulum&a=velit&odio=id&in=pretium&hac=iaculis&habitasse=diam&platea=erat&dictumst=fermentum&maecenas=justo&ut=nec&massa=condimentum&quis=neque&augue=sapien&luctus=placerat&tincidunt=ante&nulla=nulla&mollis=justo&molestie=aliquam&lorem=quis&quisque=turpis&ut=eget&erat=elit&curabitur=sodales&gravida=scelerisque&nisi=mauris&at=sit&nibh=amet&in=eros&hac=suspendisse&habitasse=accumsan&platea=tortor&dictumst=quis&aliquam=turpis&augue=sed&quam=ante&sollicitudin=vivamus&vitae=tortor&consectetuer=duis&eget=mattis&rutrum=egestas&at=metus&lorem=aenean&integer=fermentum&tincidunt=donec&ante=ut&vel=mauris&ipsum=eget&praesent=massa&blandit=tempor&lacinia=convallis&erat=nulla&vestibulum=neque&sed=libero&magna=convallis&at=eget&nunc=eleifend&commodo=luctus&placerat=ultricies&praesent=eu&blandit=nibh&nam=quisque&nulla=id&integer=justo&pede=sit&justo=amet&lacinia=sapien&eget=dignissim&tincidunt=vestibulum&eget=vestibulum&tempus=ante&vel=ipsum&pede=primis&morbi=in&porttitor=faucibus&lorem=orci&id=luctus&ligula=et&suspendisse=ultrices&ornare=posuere&consequat=cubilia&lectus=curae&in=nulla&est=dapibus&risus=dolor&auctor=vel&sed=est&tristique=donec&in=odio&tempus=justo&sit=sollicitudin&amet=ut&sem=suscipit&fusce=a&consequat=feugiat&nulla=et&nisl=eros,247-96-6952,mespinosa3@state.gov,Matthew,@8W4R986IRL,1.63E+12,Sprain of metatarsophalangeal joint of unsp lesser toe(s),31.36%
5048371909932848,945,01/33,+1 920 916 1298,66229,Wisconsin,Green Bay,2773 Division Plaza,paypal.com/eu/massa/donec/dapibus/duis/at/velit.png?dui=magnis&vel=dis&nisl=parturient&duis=montes&ac=nascetur&nibh=ridiculus&fusce=mus&lacus=vivamus&purus=vestibulum&aliquet=sagittis&at=sapien&feugiat=cum&non=sociis&pretium=natoque&quis=penatibus&lectus=et&suspendisse=magnis&potenti=dis&in=parturient&eleifend=montes&quam=nascetur&a=ridiculus&odio=mus&in=etiam&hac=vel&habitasse=augue&platea=vestibulum&dictumst=rutrum&maecenas=rutrum&ut=neque&massa=aenean&quis=auctor&augue=gravida&luctus=sem&tincidunt=praesent&nulla=id,272-23-0905,cfilip4@washingtonpost.com,Cami,@7J2M503D65,1.63E+12,Osteochondritis dissecans of ankle and joints of foot,56.60%
5048376906852964,804,09/58,+1 757 755 8876,95267,Virginia,Virginia Beach,8711 Maple Wood Drive,amazon.co.jp/rutrum.html?cubilia=justo&curae=lacinia&duis=eget&faucibus=tincidunt&accumsan=eget&odio=tempus&curabitur=vel&convallis=pede&duis=morbi&consequat=porttitor&dui=lorem&nec=id&nisi=ligula&volutpat=suspendisse&eleifend=ornare&donec=consequat&ut=lectus&dolor=in&morbi=est&vel=risus&lectus=auctor&in=sed&quam=tristique&fringilla=in&rhoncus=tempus&mauris=sit&enim=amet&leo=sem&rhoncus=fusce&sed=consequat&vestibulum=nulla&sit=nisl&amet=nunc&cursus=nisl&id=duis&turpis=bibendum&integer=felis&aliquet=sed&massa=interdum&id=venenatis&lobortis=turpis&convallis=enim&tortor=blandit&risus=mi&dapibus=in&augue=porttitor&vel=pede&accumsan=justo&tellus=eu&nisi=massa&eu=donec&orci=dapibus&mauris=duis&lacinia=at&sapien=velit&quis=eu&libero=est&nullam=congue&sit=elementum&amet=in&turpis=hac&elementum=habitasse&ligula=platea&vehicula=dictumst&consequat=morbi&morbi=vestibulum&a=velit&ipsum=id&integer=pretium&a=iaculis&nibh=diam&in=erat&quis=fermentum&justo=justo&maecenas=nec&rhoncus=condimentum&aliquam=neque&lacus=sapien,348-18-3777,cnewnham5@wunderground.com,Conn,@UI0FUJJAX7,1.63E+12,"Sltr-haris Type IV physl fx low end humer, unsp arm, 7thD",29.15%
5048376906852964,419,02/37,+1 954 374 5199,86573,Florida,Fort Lauderdale,3887 Steensland Circle,google.pl/eget/semper/rutrum/nulla/nunc/purus/phasellus.png?nam=sapien&ultrices=arcu&libero=sed&non=augue&mattis=aliquam&pulvinar=erat&nulla=volutpat&pede=in&ullamcorper=congue&augue=etiam&a=justo&suscipit=etiam&nulla=pretium&elit=iaculis&ac=justo&nulla=in&sed=hac&vel=habitasse&enim=platea&sit=dictumst&amet=etiam&nunc=faucibus&viverra=cursus,802-01-6677,tsingers6@moonfruit.com,Tiertza,@264O836GN1,1.64E+12,"Nondisp spiral fx shaft of ulna, unsp arm, 7thG",46.27%
5048376906852964,432,04/62,+1 612 225 9007,34374,Minnesota,Saint Paul,3 Lien Plaza,adobe.com/proin/risus/praesent/lectus/vestibulum.png?dolor=mi&morbi=sit&vel=amet&lectus=lobortis&in=sapien&quam=sapien&fringilla=non&rhoncus=mi&mauris=integer&enim=ac&leo=neque&rhoncus=duis&sed=bibendum&vestibulum=morbi&sit=non&amet=quam&cursus=nec&id=dui&turpis=luctus&integer=rutrum&aliquet=nulla&massa=tellus&id=in&lobortis=sagittis&convallis=dui&tortor=vel&risus=nisl&dapibus=duis&augue=ac&vel=nibh&accumsan=fusce&tellus=lacus&nisi=purus&eu=aliquet&orci=at&mauris=feugiat&lacinia=non&sapien=pretium&quis=quis&libero=lectus&nullam=suspendisse&sit=potenti&amet=in&turpis=eleifend&elementum=quam&ligula=a&vehicula=odio&consequat=in&morbi=hac&a=habitasse&ipsum=platea&integer=dictumst&a=maecenas&nibh=ut&in=massa&quis=quis&justo=augue&maecenas=luctus&rhoncus=tincidunt&aliquam=nulla&lacus=mollis&morbi=molestie,100-11-2440,xdagg7@nature.com,Xenos,@F2UW402T2K,1.64E+12,"Sprain of oth parts of left shoulder girdle, subs encntr",93.43%
5048376906852964,432,01/38,+1 614 780 6143,80150,Ohio,Columbus,3 Union Point,goo.gl/elementum/nullam.aspx?sem=primis&duis=in&aliquam=faucibus&convallis=orci&nunc=luctus&proin=et&at=ultrices&turpis=posuere&a=cubilia&pede=curae&posuere=nulla&nonummy=dapibus&integer=dolor&non=vel&velit=est&donec=donec,554-81-9911,emablestone8@myspace.com,Ellerey,@6F4NWTZ3A9,1.64E+12,Other mosquito-borne viral encephalitis,54.86%
5048376906852964,440,06/05,+1 323 597 2557,79781,California,Los Angeles,224 Badeau Alley,nydailynews.com/scelerisque/mauris.xml?sit=magna&amet=vestibulum&consectetuer=aliquet&adipiscing=ultrices&elit=erat&proin=tortor&interdum=sollicitudin&mauris=mi&non=sit&ligula=amet&pellentesque=lobortis&ultrices=sapien&phasellus=sapien&id=non&sapien=mi&in=integer&sapien=ac&iaculis=neque&congue=duis&vivamus=bibendum&metus=morbi&arcu=non&adipiscing=quam&molestie=nec&hendrerit=dui&at=luctus&vulputate=rutrum&vitae=nulla&nisl=tellus&aenean=in&lectus=sagittis&pellentesque=dui&eget=vel&nunc=nisl&donec=duis&quis=ac&orci=nibh&eget=fusce&orci=lacus&vehicula=purus&condimentum=aliquet&curabitur=at&in=feugiat&libero=non&ut=pretium&massa=quis&volutpat=lectus&convallis=suspendisse&morbi=potenti&odio=in&odio=eleifend&elementum=quam&eu=a,167-63-4180,vspurnier9@ycombinator.com,Vernon,@7835AV93N8,1.62E+12,"Injury of radial nerve at upper arm level, left arm, sequela",38.82%
